

"NE Report"
"Save Time: 10/12/2017 17:11:56"
"User Name:u2000tn-AndAlNesterenko"
""

"Total 523 Records"

"NE Name","NE Type","NE IP Address","NE MAC Address","NE ID","Software Version","Physical Location","Create Time","Fiber/Cable Count","Running Status","Subnet","Subnet Path","Alias","Remarks","Patch Version List","Customized Column","LSR ID","Maintenance Status","Gateway Type","Gateway","Optical NE","Subrack Type","Conference Call","Orderwire Phone","NE Subtype"
agg1-Lenina244.STV,CX600,10.173.224.1,2C:9D:1E:C3:A4:F1,--,VRP5.160 V600R008C10,25026063206,09/26/2016 23:11:25,12,Normal,MEN Stavropol,Physical Root / South / Stavropol / MEN Stavropol,-,The NE is created through auto discovery.,SPC300 SPH050,-,10.173.224.1,Normal,Non-gateway,--,--,ST_EXTENDED,--,--,CX600-X8
agg2-Lenina244.STV,CX600,10.173.224.2,2C:9D:1E:C3:A4:FA,--,VRP5.160 V600R008C10,25026063206,09/26/2016 23:11:35,12,Normal,MEN Stavropol,Physical Root / South / Stavropol / MEN Stavropol,-,The NE is created through auto discovery.,SPC300 SPH050,-,10.173.224.2,Normal,Non-gateway,--,--,ST_EXTENDED,--,--,CX600-X8
agg1-45parallel.STV,CX600,10.173.224.9,28:6E:D4:EE:83:58,--,VRP5.120 V600R006C00,25026061280,09/26/2016 23:12:05,5,Normal,MEN Stavropol,Physical Root / South / Stavropol / MEN Stavropol,-,The NE is created through auto discovery.,SPC300 SPH053,-,10.173.224.9,Normal,Non-gateway,--,--,Enhanced Subrack,--,--,CX600-X3
agg1-Shpakovskaya96.STV,CX600,10.173.224.11,28:6E:D4:BD:54:62,--,VRP5.120 V600R006C00,25026066289,09/26/2016 23:11:07,3,Normal,MEN Stavropol,Physical Root / South / Stavropol / MEN Stavropol,-,The NE is created through auto discovery.,SPC300 SPH053,-,10.173.224.11,Normal,Non-gateway,--,--,Enhanced Subrack,--,--,CX600-X3
acc4-1-Kulakova27_2.STV,S5300,10.173.228.14,00:25:9E:FB:D5:FC,--,VRP5.70 V100R006C01,25026062250,09/27/2016 00:30:38,0,Normal,MEN Stavropol,Physical Root / South / Stavropol / MEN Stavropol,-,The NE is created through auto discovery.,SPC100 SPH017,-,--,Normal,--,--,--,TYPE3,--,--,S5328C-EI-24S
agg1-Zhukova27.STV,CX600,10.173.224.3,28:6E:D4:93:95:5D,--,VRP5.120 V600R006C00,25026061244,09/26/2016 23:11:47,6,Normal,MEN Stavropol,Physical Root / South / Stavropol / MEN Stavropol,-,The NE is created through auto discovery.,SPC300 SPH053,-,10.173.224.3,Normal,Non-gateway,--,--,Enhanced Subrack,--,--,CX600-X3
agg1-Przhevalskogo15.STV,CX600,10.173.224.4,28:6E:D4:BF:C5:5C,--,VRP5.120 V600R006C00,25026063272,09/26/2016 23:11:50,4,Normal,MEN Stavropol,Physical Root / South / Stavropol / MEN Stavropol,-,The NE is created through auto discovery.,SPC300 SPH053,-,10.173.224.4,Normal,Non-gateway,--,--,Enhanced Subrack,--,--,CX600-X3
agg1-Kulakova10.STV,CX600,10.173.224.5,28:6E:D4:EE:83:4E,--,VRP5.120 V600R006C00,25026066285,09/26/2016 23:11:53,6,Normal,MEN Stavropol,Physical Root / South / Stavropol / MEN Stavropol,-,The NE is created through auto discovery.,SPC300 SPH053,-,10.173.224.5,Normal,Non-gateway,--,--,Enhanced Subrack,--,--,CX600-X3
agg1-Kulakova18.STV,CX600,10.173.224.6,28:6E:D4:BF:C5:5B,--,VRP5.120 V600R006C00,25026061264,09/26/2016 23:11:56,2,Normal,MEN Stavropol,Physical Root / South / Stavropol / MEN Stavropol,-,The NE is created through auto discovery.,SPC300 SPH053,-,10.173.224.6,Normal,Non-gateway,--,--,Enhanced Subrack,--,--,CX600-X3
agg1-Mikhailovskoe7.STV,CX600,10.173.224.7,28:6E:D4:EE:83:36,--,VRP5.120 V600R006C00,25026066295,09/26/2016 23:11:59,4,Normal,MEN Stavropol,Physical Root / South / Stavropol / MEN Stavropol,-,The NE is created through auto discovery.,SPC300 SPH053,-,10.173.224.7,Normal,Non-gateway,--,--,Enhanced Subrack,--,--,CX600-X3
agg1-Serova460.STV,CX600,10.173.224.8,28:6E:D4:EE:83:4C,--,VRP5.120 V600R006C00,25026066292,09/26/2016 23:12:02,2,Normal,MEN Stavropol,Physical Root / South / Stavropol / MEN Stavropol,-,The NE is created through auto discovery.,SPC300 SPH053,-,10.173.224.8,Normal,Non-gateway,--,--,Enhanced Subrack,--,--,CX600-X3
agg1-Perspektivnaya26.STV,CX600,10.173.224.10,28:6E:D4:EE:83:44,--,VRP5.120 V600R006C00,25026100025,09/26/2016 23:11:04,3,Normal,MEN Stavropol,Physical Root / South / Stavropol / MEN Stavropol,-,The NE is created through auto discovery.,SPC300 SPH053,-,10.173.224.10,Normal,Non-gateway,--,--,Enhanced Subrack,--,--,CX600-X3
acc15-1-Lenina244.STV,S5300,10.173.228.70,00:25:9E:FB:A3:F5,--,VRP5.70 V100R006C01,25026063206,09/27/2016 00:34:07,2,Normal,MEN Stavropol,Physical Root / South / Stavropol / MEN Stavropol,-,The NE is created through auto discovery.,SPC100 SPH017,-,--,Normal,--,--,--,TYPE3,--,--,S5328C-EI-24S
acc24-4-Lenina394.STV,S3300,10.173.228.11,28:6E:D4:E8:CE:2C,--,VRP5.70 V100R006C01,25026101517,09/27/2016 00:29:11,0,Normal,MEN Stavropol,Physical Root / South / Stavropol / MEN Stavropol,-,The NE is created through auto discovery.,SPC100 SPH017,-,--,Normal,--,--,--,Enhanced Subrack,--,--,S3328TP-EI
agg2-Dunaevskogo26.PYATK,CX600,10.173.192.2,28:6E:D4:95:3E:35,--,VRP5.160 V600R008C10,25026100201,09/26/2016 23:10:23,11,Normal,MEN Pyatigorsk,Physical Root / South / Stavropol / MEN Pyatigorsk,-,The NE is created through auto discovery.,SPC300 SPH066,-,10.173.192.2,Normal,Non-gateway,--,--,ST_EXTENDED,--,--,CX600-X8
isl-hub01-Galereya_Kirova65.PYATK,S3300,10.67.38.7,84:5B:12:4A:41:80,--,VRP5.70 V100R006C01,isl-hub01-Galereya_Kirova65.PYATK,10/20/2016 14:10:40,0,Normal,MEN Pyatigorsk,Physical Root / South / Stavropol / MEN Pyatigorsk,-,The NE is created through auto discovery.,SPC100 SPH021,-,--,Normal,--,--,--,Enhanced Subrack,--,--,S3328TP-EI
agg1-Kislovodskaya30a.ESSTK,CX600,10.173.192.3,28:6E:D4:EE:83:4D,--,VRP5.120 V600R006C00,25026100085,09/26/2016 23:10:26,6,Normal,MEN Essentuki,Physical Root / South / Stavropol / MEN Essentuki,-,The NE is created through auto discovery.,SPC300 SPH053,-,10.173.192.3,Normal,Non-gateway,--,--,Enhanced Subrack,--,--,CX600-X3
agg2-Kislovodskaya30a.ESSTK,CX600,10.173.192.4,28:6E:D4:EE:83:37,--,VRP5.120 V600R006C00,25026100085,09/26/2016 23:10:28,5,Normal,MEN Essentuki,Physical Root / South / Stavropol / MEN Essentuki,-,The NE is created through auto discovery.,SPC300 SPH053,-,10.173.192.4,Normal,Non-gateway,--,--,Enhanced Subrack,--,--,CX600-X3
acc16-7-Dovatortcev61.STV,S3300,10.173.228.83,28:6E:D4:E8:CE:2F,--,VRP5.70 V100R006C01,25026102338,09/27/2016 00:34:27,3,Normal,MEN Stavropol,Physical Root / South / Stavropol / MEN Stavropol,-,The NE is created through auto discovery.,SPC100 SPH017,-,--,Normal,--,--,--,Enhanced Subrack,--,--,S3328TP-EI
acc16-6-50LetVLKSM43b.STV,S3300,10.173.228.82,28:6E:D4:E8:D0:C4,--,VRP5.70 V100R006C01,25026102381,09/27/2016 00:34:24,0,Normal,MEN Stavropol,Physical Root / South / Stavropol / MEN Stavropol,-,The NE is created through auto discovery.,SPC100 SPH017,-,--,Normal,--,--,--,Enhanced Subrack,--,--,S3328TP-EI
acc17-2-Shpakovskaya88.STV,S3300,10.173.228.87,28:6E:D4:E9:00:4E,--,VRP5.70 V100R006C01,25026101731,09/27/2016 00:34:37,0,Normal,MEN Stavropol,Physical Root / South / Stavropol / MEN Stavropol,-,The NE is created through auto discovery.,SPC100 SPH017,-,--,Normal,--,--,--,Enhanced Subrack,--,--,S3328TP-EI
acc22-1-Mikhalovskoe5.STV,S3300,10.173.228.89,28:6E:D4:E8:D2:CD,--,VRP5.70 V100R006C01,25026102515,09/27/2016 00:34:42,1,Normal,MEN Stavropol,Physical Root / South / Stavropol / MEN Stavropol,-,The NE is created through auto discovery.,SPC100 SPH017,-,--,Normal,--,--,--,Enhanced Subrack,--,--,S3328TP-EI
agg1-Lenina162a.MIKHL,CX600,10.173.224.14,80:FB:06:DF:DC:F2,--,VRP5.120 V600R006C00,25026065246,09/26/2016 23:11:10,4,Normal,MEN Mikhalovsk,Physical Root / South / Stavropol / MEN Mikhalovsk,-,The NE is created through auto discovery.,SPC300 SPH053,-,10.173.224.14,Normal,Non-gateway,--,--,Enhanced Subrack,--,--,CX600-X3
acc24-1-Mira448.STV,S5300,10.173.228.73,80:FB:06:AE:F2:40,--,VRP5.70 V100R006C01,25026100363,09/27/2016 00:34:10,0,Normal,MEN Stavropol,Physical Root / South / Stavropol / MEN Stavropol,-,The NE is created through auto discovery.,SPC100 SPH017,-,--,Normal,--,--,--,TYPE3,--,--,S5328C-EI-24S
acc16-9-Dovatortcev61.STV,S3300,10.173.228.90,28:6E:D4:E8:D2:AA,--,VRP5.70 V100R006C01,25026102338,09/27/2016 00:34:47,1,Normal,MEN Stavropol,Physical Root / South / Stavropol / MEN Stavropol,-,The NE is created through auto discovery.,SPC100 SPH017,-,--,Normal,--,--,--,Enhanced Subrack,--,--,S3328TP-EI
acc4-4-Kulakova16a.STV,S3300,10.173.228.78,28:6E:D4:E8:D0:C6,--,VRP5.70 V100R006C01,25026102342,09/27/2016 00:34:17,0,Normal,MEN Stavropol,Physical Root / South / Stavropol / MEN Stavropol,-,The NE is created through auto discovery.,SPC100 SPH017,-,--,Normal,--,--,--,Enhanced Subrack,--,--,S3328TP-EI
acc15-7-Bunimovicha7.PYATK,S3300,10.173.196.32,4C:1F:CC:78:1D:12,--,VRP5.70 V100R006C01,25026063273,09/27/2016 00:24:27,0,Normal,MEN Pyatigorsk,Physical Root / South / Stavropol / MEN Pyatigorsk,-,The NE is created through auto discovery.,SPC100 SPH017,-,--,Normal,--,--,--,Enhanced Subrack,--,--,S3328TP-EI
agg1-Sovetskaya47.MINVD,CX600,10.173.212.1,28:6E:D4:EE:83:33,--,VRP5.120 V600R006C00,25026100041,09/26/2016 23:10:46,3,Normal,MEN MinVody,Physical Root / South / Stavropol / MEN MinVody,MinVody - AMTS,The NE is created through auto discovery.,SPC300 SPH053,-,10.173.212.1,Normal,Non-gateway,--,--,Enhanced Subrack,--,--,CX600-X3
